Model,Accuracy,Precision,Recall,F1 Score,AUROC
CustomCNN,0.9465678627145084,0.9413136024652972,0.941721993920286,0.9408250419465292,0.9964815531902772
AlexNet,0.9613884555382216,0.9652240780445082,0.9506114639332038,0.9570033778778472,0.9985991944208048
VGG-13,0.9535881435257412,0.954772357893284,0.9526809421371504,0.9527539079749756,0.9980958347414346
InceptionNet,0.9586583463338534,0.955463377042052,0.9599451693198836,0.9570361602562868,0.9985786184487022
ResNet-18,0.9719188767550702,0.9707144819999498,0.9726412182547406,0.9714248292454538,0.9991111673545304
